ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2020-09-25,PRLD,Prelude Therapeutics Incorporated,19.0,$4.65,-75.26,2020,-0.7526,4.700599999999999,,,,data/raw/s1_filings/PRLD_2020-09-25_risk_factors.txt,data/raw/s1_filings/PRLD_2020-09-25_mda.txt,data/raw/s1_filings/PRLD_2020-09-25.txt
2020-09-25,SYTA,"Siyata Mobile, Inc.",7.25,$12.88,-57.66,2020,-0.5766,3.06965,,,,,,
2020-09-25,VACQ,Vector Acquisition Corporation,10.0,$11.57,15.7,2020,0.157,11.57,,,,,,
2020-09-25,VIAOY,VIA optronics AG,15.0,$0.14,-99.07,2020,-0.9907,0.1395000000000013,,,,,,
2020-09-24,PDAC,Peridot Acquisition Corp.,10.0,$11.23,12.3,2020,0.123,11.23,,,,,,
2020-09-24,TSHA,"Taysha Gene Therapies, Inc.",20.0,$6.65,-68.0,2020,-0.68,6.399999999999999,,,,data/raw/s1_filings/TSHA_2020-09-24_risk_factors.txt,data/raw/s1_filings/TSHA_2020-09-24_mda.txt,data/raw/s1_filings/TSHA_2020-09-24.txt
2020-09-23,ACTC,ArcLight Clean Transition Corp.,10.0,$18.09,80.9,2020,0.809,18.090000000000003,,,,,,
2020-09-23,ASPL,Aspirational Consumer Lifestyle Corp.,10.0,$9.93,-0.7,2020,-0.0069999999999999,9.93,,,,,,
2020-09-23,BSY,"Bentley Systems, Incorporated",22.0,$33.54,52.46,2020,0.5246,33.5412,,,,data/raw/s1_filings/BSY_2020-09-23_risk_factors.txt,data/raw/s1_filings/BSY_2020-09-23_mda.txt,data/raw/s1_filings/BSY_2020-09-23.txt
2020-09-23,CRSR,"Corsair Gaming, Inc.",17.0,$6.78,-61.29,2020,-0.6129,6.5807,,,,data/raw/s1_filings/CRSR_2020-09-23_risk_factors.txt,data/raw/s1_filings/CRSR_2020-09-23_mda.txt,data/raw/s1_filings/CRSR_2020-09-23.txt
2020-09-23,GDRX,"GoodRx Holdings, Inc.",33.0,$2.33,-93.0,2020,-0.93,2.3099999999999983,,,,data/raw/s1_filings/GDRX_2020-09-23_risk_factors.txt,data/raw/s1_filings/GDRX_2020-09-23_mda.txt,data/raw/s1_filings/GDRX_2020-09-23.txt
2020-09-23,LSF,"Laird Superfood, Inc.",22.0,$3.36,-85.82,2020,-0.8582,3.119600000000001,,,,data/raw/s1_filings/LSF_2020-09-23_risk_factors.txt,data/raw/s1_filings/LSF_2020-09-23_mda.txt,data/raw/s1_filings/LSF_2020-09-23.txt
