ticker,first_day_close,underpricing,first_week_return,first_month_return,status
PSNL,28.489999771118164,0.6758823394775391,-0.01965600106849015,-0.20709019536431933,ok
SMMC,,,,,no_data
WORK,,,,,no_data
STOK,25.56999969482422,0.4205555386013455,0.03285100362194843,-0.08290961897484449,ok
CHWY,34.9900016784668,0.5904546217484907,-0.07745077934185082,-0.05430126992672271,ok
FVRR,39.900001525878906,0.9000000726609003,-0.2974937439923301,-0.4095238454900433,ok
CRWD,58.0,0.7058823529411765,0.33137933139143316,0.2672413793103448,ok
MWK,,,,,no_data
HYAC,10.170000076293945,0.01700000762939453,0.0,0.0,ok
RVLV,34.0,0.8888888888888888,0.23558818592744715,0.09705880109001608,ok
GIX,,,,,no_data
GOTU,10.479999542236328,-0.0019048055013020833,-0.08778617965696114,-0.08683205030159041,ok
BCYC,12.0,-0.14285714285714285,-0.0058333079020182295,-0.052500009536743164,ok
IDYA,11.1899995803833,0.11899995803833008,0.03127796198342107,-0.1090258587223917,ok
RTLR,,,,,no_data
GXGX,,,,,no_data
AVTR,14.5,0.03571428571428571,0.19448273757408405,0.2841379889126482,ok
FSLY,23.989999771118164,0.49937498569488525,-0.10379323863587124,-0.1963317686289884,ok
LKNCY,20.3799991607666,0.1988234800450942,-0.2482826140485498,0.03876354014028466,ok
PSTL,11.601065635681152,-0.3175843743716969,-0.015294133411220542,-0.11235323087920941,ok
AGBA,,,,,no_data
APLT,,,,,no_data
JFIN,12.660618782043457,0.2057732173374721,-0.16346745662594617,-0.3486067431421852,ok
SONM,19782.0,1797.3636363636363,0.03275705186533212,0.5586897179253867,ok
UBER,41.56999969482422,-0.07622222900390625,0.008178978953185397,0.02501806406452372,ok
AXLA,,,,,no_data
HHR,,,,,no_data
MEC,16.469999313354492,-0.031176510979147518,0.029143987225048504,-0.16514872050717178,ok
NXTC,238.8000030517578,14.92000020345052,0.014070354134892167,-0.21457288458266158,ok
QNCX,328.8999938964844,18.34705846449908,-0.2353298733135419,-0.22164790285593133,ok
SPFI,15.968864440917969,-0.08749346051897322,0.014116339101731379,-0.006775749604289582,ok
PSN,30.06999969482422,0.11370369240089699,0.07914868946689384,0.07715329957996465,ok
LCA,,,,,no_data
TRVI,7.889999866485596,-0.21100001335144042,0.12801011015663769,0.1926489235295209,ok
TBBA,9.0,-0.1,0.14444446563720703,0.027777777777777776,ok
ATIF,,,,,no_data
RRBI,48.212852478027344,0.07139672173394097,0.009950303472427171,-0.02547261548053559,ok
SCPL,,,,,no_data
YJ,566.0,50.45454545454545,-0.14699648799828843,-0.2226148409893993,ok
BYND,65.75,1.63,0.038326945141694393,0.46250956140090305,ok
SY,16.670894622802734,0.20803584223208213,0.040109949830384364,-0.12087914099549789,ok
TMDX,22.360000610351562,0.39750003814697266,0.12656528830307393,0.23613589602732388,ok
WAFU,4.099999904632568,-0.18000001907348634,-0.03658533181412236,-0.30243903375111636,ok
GNLN,278520000.0,16383528.411764706,-0.0971563981042654,-0.25118483412322273,ok
HOOK,140.0,9.0,0.010714285714285714,-0.1557143075125558,ok
MNRL,,,,,no_data
PINS,24.399999618530273,0.28421050623843547,0.18032785603770046,0.05942626170527758,ok
ZM,62.0,0.7222222222222222,0.04838709677419355,0.36564513175718244,ok
BWAY,5.545000076293945,-0.4959090839732777,0.014427398125397938,-0.018755651960647737,ok
PLMR,18.989999771118164,0.26599998474121095,-0.0005266050027575702,0.17430223832738279,ok
TPTX,,,,,no_data
JMIA,25.459999084472656,0.7558620058257004,0.31068343015912353,0.04477617195565122,ok
PD,38.25,0.59375,0.023529451656964868,0.29281047746246935,ok
TUFN,,,,,no_data
GHSI,,,,,no_data
NGM,,,,,no_data
